DESCRIPTION,DATE_OF_VAC_ORDER,BLDG_TX_BORO,AKA_ADDRESS,BLDG_COMMUNITY_DIST,COUNCIL_DISTRICT,BIN,BBL,LST_COMPL_INSP_DATE,STATUS_CHANGE_DATE,OCPCY_DESC,lat,lon,Year Built,Building Age Category,Count
Dismissal,04/05/1989,BK,"495 DEKALB AVENUE, BK ;495 DE KALB AVENUE, BK ;247 FRANKLIN AVENUE, BK",303.0,33.0,3055182,3019270005,12/12/2011,12/19/2011,Residential,40.6909141,-73.9571612,1955.0,1940 to 1959,1
Dismissal,06/22/1989,QN,"86-47 126 STREET, QN",409.0,29.0,4193935,4092800041,02/23/2012,03/09/2012,Residential,40.7016111,-73.8246139,1925.0,1920 to 1939 (Pre-war late),1
Dismissal,08/30/1989,QN,"32-57 85 STREET, QN",403.0,25.0,4034690,4014150051,03/13/2012,04/10/2012,Residential,40.7563218,-73.8823735,1930.0,1920 to 1939 (Pre-war late),1
Dismissal,11/13/1989,BK,"686 GRAND STREET, BK",301.0,34.0,3069586,3027881004,03/13/2012,04/16/2012,Residential,,,,Unknown,1
Dismissal,05/21/1990,QN,"80-24 LEFFERTS BOULEVARD, QN",409.0,29.0,4080118,4033530051,02/24/2012,03/21/2012,Residential,40.7103455,-73.8285767,1925.0,1920 to 1939 (Pre-war late),1
Dismissal,08/21/1990,QN,"86-38 111 STREET, QN",409.0,32.0,4192612,4092240023,03/16/2012,03/21/2012,Residential,40.6975874,-73.837802,1901.0,1900 to 1919 (Pre-war mid),1
Dismissal,01/03/1991,BK,"1082 BUSHWICK AVENUE, BK",304.0,34.0,3076531,3033480034,02/12/2015,,Residential,40.6901476,-73.9198584,1921.0,1920 to 1939 (Pre-war late),1
Dismissal,02/26/1991,BK,"212 LEFFERTS PLACE, BK",303.0,36.0,3057881,3020200043,04/11/2013,,Residential,40.6800472,-73.9560938,1900.0,1900 to 1919 (Pre-war mid),1
Dismissal,03/07/1991,BK,"719 BRISTOL STREET, BK",316.0,42.0,3083058,3036420011,02/15/2012,03/02/2012,Residential,40.6532299,-73.9081612,1930.0,1920 to 1939 (Pre-war late),1
Dismissal,09/26/1991,BX,"903 AVENUE SAINT JOHN, BX ;903 AVENUE ST JOHN, BX",202.0,17.0,2005131,2026860016,12/12/2011,,Residential,40.8161513,-73.9026907,1910.0,1900 to 1919 (Pre-war mid),1
